 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Categoria CID10 e Unidade da Federação
Grande Grupo CID10: V01-V99 Acidentes de transporte
Categoria CID10: V01   Pedestre traum colis veic a pedal, V02   Pedestre traum colis veic motor 2 3 rodas, V03   Pedestre traum colis automov pickup caminhon, V04   Pedestre traum colis veic transp pesado onib, V05   Pedestre traum colis trem veic ferroviario, V06   Pedestre traum colis outr veic nao-motoriz, V09   Pedestre traum outr acid transp e NE, V10   Ciclista traum colis pedestre animal, V11   Ciclista traum colis outr veic a pedal, V12   Ciclista traum colis veic motor 2 3 rodas, V13   Ciclista traum colis automov pickup caminhon, V14   Ciclis traum colis veic transp pesado onibus, V15   Ciclista traum colis trem veic ferroviario, V16   Ciclista traum colis outr veic nao-motoriz, V17   Ciclista traum colis objeto fixo ou parado, V18   Ciclista traum acid transp s/colis, V19   Ciclista traum acid transp e NE, V20   Motociclista traum colis pedestre animal, V21   Motociclista traum colis veic pedal, V22   Motocicl traum colis veic motor 2 3 rodas, V23   Motocicl traum colis automov pickup caminhon, V24   Motocicl traum colis veic transp pesado onib, V25   Motociclista traum colis trem veic ferrov, V26   Motocicl traum colis outr veic nao-motoriz, V27   Motocicl traum colis objeto fixo parado, V28   Motociclista traum acid transp s/colis, V29   Motociclista traum outr acid transp e NE, V30   Ocup tricicl mot traum colis pedestre animal, V31   Ocup tricicl motoriz traum colis veic pedal, V32   Ocup tric mot traum col out veic mot 2 3 rod, V33   Ocup tric mot traum col auto pickup caminhon, V34   Ocup tric mot traum col veic transp pes onib, V35   Ocup tricic mot traum colis trem veic ferrov, V36   Ocup tric mot traum colis outr veic n-motor, V37   Ocup tricic mot traum colis obj fixo parado, V38   Ocup tricic motor traum acid transp s/colis, V39   Ocup tricicl mot traum outr acid transp e NE, V40   Ocup automovel traum colis pedestre animal, V41   Ocup automovel traum colis veic a pedal, V42   Ocup autotraum colis outr veic mot 2 3 rodas, V43   Ocup automov traum col auto pickup caminhon, V44   Ocup autom traum colis veic trans pesad onib, V45   Ocup automovel traum colis trem veic ferrov, V46   Ocup automov traum colis outr veic n-motor, V47   Ocup automovel traum colis obj fixo parado, V48   Ocup automovel traum acid transp s/colis, V49   Ocup automovel traum outr acid transp e NE, V50   Ocup caminhonete traum colis pedestre animal, V51   Ocup caminhonete traum colis veic pedal, V52   Ocup caminhon traum colis veic mot 2 3 rodas, V53   Ocup caminhon traum colis automov caminhon, V54   Ocup caminhon traum col veic transp pes onib, V55   Ocup caminhon traum colis trem veic ferrov, V56   Ocup caminhonete traum colis outr veic n-mot, V57   Ocup caminhonete traum colis obj fixo parado, V58   Ocup caminhonete traum acid transp s/colis, V59   Ocup caminhonete traum outr acid transp NE, V60   Ocup veic transp pesado traum colis ped anim, V61   Ocup veic transp pesado traum col veic pedal, V62   Ocup v transp pes traum col veic mot 2 3 rod, V63   Ocup veic tr pesado traum col auto caminhon, V64   Ocup v tr pes tr col outr veic tr pes onib, V65   Ocup veic tr pes traum col trem veic ferrov, V66   Ocup veic tr pesado traum col out veic n-mot, V67   Ocup veic tr pesado traum col obj fixo parad, V68   Ocup veic tr pesado traum ac transp s/colis, V69   Ocup veic tr pesado traum outr ac transp NE, V70   Ocup onibus traum colis pedestre animal, V71   Ocup onibus traum colis veic a pedal, V72   Ocup onibus traum col out veic mot 2 3 rodas, V73   Ocup onibus traum colis automovel caminhonet, V74   Ocup onibus traum colis veic transp pes onib, V75   Ocup onibus traum colis trem veic ferrov, V76   Ocup onibus traum colis outr veic n-motor, V77   Ocup onibus traum colis objeto fixo parado, V78   Ocup onibus traum acid transp s/colis, V79   Ocup onibus traum outr acid transp e NE, V80   Pess mont anim oc veic anim traum ac transp, V81   Ocup trem veic ferroviario traum acid transp, V82   Ocup de um bonde traum acid transp, V83   Ocup veic esp mot area ind traum ac transp, V84   Ocup veic esp mot uso agric traum acid trans, V85   Ocup veic mot esp constr traum acid transp, V86   Ocup veic outr uso n-via pub traum ac transp, V87   Acid trans tipo espec desconh mod transp vit, V88   Ac n-trans tipo espec desconh mod transp vit, V89   Acid veic mot n-mot tipos de veic NE, V90   Acid embarcacao caus afogamento submersao, V91   Acid embarcacao causando outr tipo de traum, V92   Afog submers rel transp agua s/acid embarc, V93   Acid bord emb s/ac bem n caus afog submers, V94   Outr acid transp p/agua e os NE, V95   Acid de aeronave mot causando traum ao ocup, V96   Acid aeronave s/motor causando traum a ocup, V97   Outr acid espec de transporte aereo, V98   Outr acid transp espec, V99   Acid transp NE
Período:2009-2019
"Categoria CID10";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"V01   Pedestre traum colis veic a pedal";2;1;2;1;24;-;3;30;6;40;3;6;15;4;3;8;48;3;16;78;17;7;6;3;8;10;2;346
"V02   Pedestre traum colis veic motor 2 3 rodas";97;46;128;10;212;28;90;503;359;366;90;117;570;58;221;316;905;92;428;1891;646;335;392;185;165;409;130;8789
"V03   Pedestre traum colis automov pickup caminhon";104;42;115;69;361;66;103;450;321;379;174;392;607;74;327;344;1325;126;1296;3979;2118;1138;1253;446;219;551;460;16839
"V04   Pedestre traum colis veic transp pesado onib";56;29;59;13;155;13;51;224;186;142;29;55;312;32;174;260;837;77;829;2215;718;444;561;171;150;315;141;8248
"V05   Pedestre traum colis trem veic ferroviario";-;-;1;-;5;1;1;43;9;50;12;21;15;4;-;22;221;16;571;582;151;22;29;7;2;6;1;1792
"V06   Pedestre traum colis outr veic nao-motoriz";8;-;4;-;16;1;-;19;5;9;3;1;13;2;-;8;27;-;10;29;5;6;8;1;2;9;3;189
"V09   Pedestre traum outr acid transp e NE";293;27;1269;84;3596;55;343;1086;439;3339;423;383;2678;850;221;3272;3793;1580;5887;9603;2749;981;1968;245;720;1704;656;48244
"V10   Ciclista traum colis pedestre animal";-;-;2;1;1;-;2;7;7;9;3;3;9;2;1;5;9;-;1;10;4;5;4;2;1;2;-;90
"V11   Ciclista traum colis outr veic a pedal";4;-;1;-;1;-;-;6;4;3;-;2;6;-;5;3;10;2;5;30;9;1;1;4;3;3;2;105
"V12   Ciclista traum colis veic motor 2 3 rodas";56;16;16;16;48;10;34;105;123;102;31;14;74;12;42;38;142;22;97;245;141;160;77;123;101;127;19;1991
"V13   Ciclista traum colis automov pickup caminhon";75;19;22;73;53;33;48;119;150;153;31;29;119;24;97;69;320;35;317;756;503;452;312;251;123;244;146;4573
"V14   Ciclis traum colis veic transp pesado onibus";46;12;6;14;60;10;25;91;79;62;25;11;74;15;30;52;245;26;194;534;287;238;160;137;104;138;55;2730
"V15   Ciclista traum colis trem veic ferroviario";-;-;-;-;-;-;2;4;-;1;-;-;1;-;-;1;4;-;5;3;1;1;2;-;-;-;-;25
"V16   Ciclista traum colis outr veic nao-motoriz";-;-;-;-;1;-;-;3;-;1;2;1;2;-;2;1;5;-;1;3;2;-;5;-;-;-;-;29
"V17   Ciclista traum colis objeto fixo ou parado";6;1;2;1;4;-;5;10;4;19;2;2;22;1;5;13;110;5;24;90;47;31;28;4;10;15;3;464
"V18   Ciclista traum acid transp s/colis";19;6;18;7;31;3;21;44;59;91;22;57;86;51;36;97;257;83;150;427;238;93;82;49;38;111;34;2210
"V19   Ciclista traum acid transp e NE";44;11;11;13;151;8;34;139;63;140;48;79;221;21;17;122;336;69;110;749;217;132;135;42;86;122;21;3141
"V20   Motociclista traum colis pedestre animal";41;12;17;21;139;5;58;356;448;207;108;81;251;54;193;190;193;11;82;216;101;57;67;53;72;89;21;3143
"V21   Motociclista traum colis veic pedal";14;4;8;1;54;-;9;62;29;75;12;8;18;13;16;9;21;10;14;49;36;21;12;13;20;16;2;546
"V22   Motocicl traum colis veic motor 2 3 rodas";234;55;267;49;425;20;115;760;673;663;180;176;644;91;342;295;428;85;271;528;357;324;201;196;289;332;27;8027
"V23   Motocicl traum colis automov pickup caminhon";462;90;363;226;543;64;398;1170;1214;932;378;346;1370;316;751;667;1506;246;1266;3780;2853;2211;1485;956;943;1711;419;26666
"V24   Motocicl traum colis veic transp pesado onib";314;49;236;58;468;26;263;743;571;413;154;157;695;122;407;459;1269;178;721;2619;1498;1235;849;553;755;969;164;15945
"V25   Motociclista traum colis trem veic ferrov";-;-;-;-;1;-;1;2;5;8;1;-;2;-;-;1;5;-;6;9;7;7;5;1;1;2;1;65
"V26   Motocicl traum colis outr veic nao-motoriz";11;1;-;-;12;-;4;47;6;14;13;5;24;12;21;27;26;3;10;26;19;4;23;13;4;14;1;340
"V27   Motocicl traum colis objeto fixo parado";112;55;211;51;241;15;129;637;604;498;177;161;402;101;300;307;838;131;704;2092;976;811;521;364;436;671;118;11663
"V28   Motociclista traum acid transp s/colis";233;34;388;78;611;26;240;994;1620;1437;249;375;1367;770;653;847;771;88;1042;1524;821;493;423;416;448;710;189;16847
"V29   Motociclista traum outr acid transp e NE";522;18;192;115;2800;54;1007;2741;1481;3844;1465;2346;3526;362;326;4142;3908;2483;988;6281;1251;692;680;204;1392;1312;92;44224
"V30   Ocup tricicl mot traum colis pedestre animal";1;-;-;-;1;-;-;4;-;-;-;-;1;-;-;-;1;-;-;3;-;-;3;-;-;1;1;16
"V31   Ocup tricicl motoriz traum colis veic pedal";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
